分拣中心,日期,货量
SC20,2023-09-27,235
SC20,2023-09-28,182
SC20,2023-09-29,119
SC20,2023-09-30,93
SC20,2023-10-01,260
SC20,2023-10-02,200
SC20,2023-10-03,120
SC20,2023-10-04,47
SC20,2023-10-05,45
SC20,2023-10-06,116
SC20,2023-10-07,103
SC20,2023-10-08,231
SC20,2023-10-09,84
SC20,2023-10-10,75
SC20,2023-10-11,117
SC20,2023-10-12,72
SC20,2023-10-13,74
SC20,2023-10-14,49
SC20,2023-10-15,513
SC20,2023-10-16,577
SC20,2023-10-17,240
SC20,2023-10-18,155
SC20,2023-10-19,88
SC20,2023-10-20,375
SC20,2023-10-21,235
SC20,2023-10-22,88
SC20,2023-10-23,252
SC20,2023-10-24,177
SC20,2023-10-25,233
SC20,2023-10-26,89
SC20,2023-10-27,128
SC20,2023-10-28,43
SC20,2023-10-29,80
SC20,2023-10-30,162
SC20,2023-10-31,151
SC20,2023-11-01,113
SC20,2023-11-02,154
SC20,2023-11-03,108
SC20,2023-11-04,43
SC20,2023-11-05,30
SC20,2023-11-06,113
SC20,2023-11-07,332
SC20,2023-11-08,313
SC20,2023-11-10,398
SC20,2023-11-11,381
SC20,2023-11-12,704
SC20,2023-11-13,252
SC20,2023-11-14,130
SC20,2023-11-15,136
SC20,2023-11-16,818
SC20,2023-11-17,808
SC20,2023-11-18,26
SC20,2023-11-19,24
SC20,2023-11-20,77
SC20,2023-11-21,164
SC20,2023-11-22,177
SC20,2023-11-23,117
SC20,2023-11-24,104
SC20,2023-11-25,34
SC20,2023-11-26,29
SC20,2023-11-27,74
SC20,2023-11-28,43
SC20,2023-11-29,53
SC20,2023-11-30,53
SC21,2023-08-01,1938
SC21,2023-08-02,1765
SC21,2023-08-03,1512
SC21,2023-08-04,2524
SC21,2023-08-05,2019
SC21,2023-08-06,1556
SC21,2023-08-07,1405
SC21,2023-08-08,1461
SC21,2023-08-09,1396
SC21,2023-08-10,1523
SC21,2023-08-11,1926
SC21,2023-08-12,1812
SC21,2023-08-13,1356
SC21,2023-08-14,1352
SC21,2023-08-15,1522
SC21,2023-08-16,1478
SC21,2023-08-17,1682
SC21,2023-08-18,2135
SC21,2023-08-19,1896
SC21,2023-08-20,1510
SC21,2023-08-21,1481
SC21,2023-08-22,1578
SC21,2023-08-23,1606
SC21,2023-08-24,2055
SC21,2023-08-25,2680
SC21,2023-08-26,2039
SC21,2023-08-27,1484
SC21,2023-08-28,1578
SC21,2023-08-29,1801
SC21,2023-08-30,1798
SC21,2023-08-31,1662
SC21,2023-09-01,2998
SC21,2023-09-02,3074
SC21,2023-09-03,2627
SC21,2023-09-04,2058
SC21,2023-09-05,2035
SC21,2023-09-06,2090
SC21,2023-09-07,2922
SC21,2023-09-08,3199
SC21,2023-09-09,2740
SC21,2023-09-10,1957
SC21,2023-09-11,2008
SC21,2023-09-12,2386
SC21,2023-09-13,2044
SC21,2023-09-14,2295
SC21,2023-09-15,3242
SC21,2023-09-16,2873
SC21,2023-09-17,2307
SC21,2023-09-18,1910
SC21,2023-09-19,2961
SC21,2023-09-20,2864
SC21,2023-09-21,2873
SC21,2023-09-22,2904
SC21,2023-09-23,3105
SC21,2023-09-24,2649
SC21,2023-09-25,2690
SC21,2023-09-26,3165
SC21,2023-09-27,3390
SC21,2023-09-28,2801
SC21,2023-09-29,2042
SC21,2023-09-30,1851
SC21,2023-10-01,1627
SC21,2023-10-02,1252
SC21,2023-10-03,1186
SC21,2023-10-04,1320
SC21,2023-10-05,1514
SC21,2023-10-06,1725
SC21,2023-10-07,1849
SC21,2023-10-08,1689
SC21,2023-10-09,1697
SC21,2023-10-10,1753
SC21,2023-10-11,1988
SC21,2023-10-12,1731
SC21,2023-10-13,2198
SC21,2023-10-14,1999
SC21,2023-10-15,1762
SC21,2023-10-16,1536
SC21,2023-10-17,2200
SC21,2023-10-18,1650
SC21,2023-10-19,2116
SC21,2023-10-20,3469
SC21,2023-10-21,2551
SC21,2023-10-22,1633
SC21,2023-10-23,2460
SC21,2023-10-24,3931
SC21,2023-10-25,3511
SC21,2023-10-26,2456
SC21,2023-10-27,3825
SC21,2023-10-28,3463
SC21,2023-10-29,3226
SC21,2023-10-30,2358
SC21,2023-10-31,3021
SC21,2023-11-02,4542
SC21,2023-11-03,4832
SC21,2023-11-04,3751
SC21,2023-11-05,3147
SC21,2023-11-06,2537
SC21,2023-11-07,3169
SC21,2023-11-08,2882
SC21,2023-11-09,2578
SC21,2023-11-10,3457
SC21,2023-11-13,4909
SC21,2023-11-14,4710
SC21,2023-11-15,2921
SC21,2023-11-16,2256
SC21,2023-11-17,2522
SC21,2023-11-18,1978
SC21,2023-11-19,1538
SC21,2023-11-20,1598
SC21,2023-11-21,1667
SC21,2023-11-22,1673
SC21,2023-11-23,1633
SC21,2023-11-24,2408
SC21,2023-11-25,2366
SC21,2023-11-26,2019
SC21,2023-11-27,1913
SC21,2023-11-28,1956
SC21,2023-11-29,1846
SC21,2023-11-30,2091
SC55,2023-08-01,3987
SC55,2023-08-02,4038
SC55,2023-08-03,4130
SC55,2023-08-04,4153
SC55,2023-08-05,4144
SC55,2023-08-06,3864
SC55,2023-08-07,3934
SC55,2023-08-08,3710
SC55,2023-08-09,3931
SC55,2023-08-10,3866
SC55,2023-08-11,3839
SC55,2023-08-12,3847
SC55,2023-08-13,3470
SC55,2023-08-14,3899
SC55,2023-08-15,4041
SC55,2023-08-16,4374
SC55,2023-08-17,3785
SC55,2023-08-18,3709
SC55,2023-08-19,3690
SC55,2023-08-20,3744
SC55,2023-08-21,3951
SC55,2023-08-22,3700
SC55,2023-08-23,3548
SC55,2023-08-24,3578
SC55,2023-08-25,3608
SC55,2023-08-26,3612
SC55,2023-08-27,3713
SC55,2023-08-28,3932
SC55,2023-08-29,3908
SC55,2023-08-30,3860
SC55,2023-08-31,4179
SC55,2023-09-01,3909
SC55,2023-09-02,3917
SC55,2023-09-03,3969
SC55,2023-09-04,4245
SC55,2023-09-05,3963
SC55,2023-09-06,4070
SC55,2023-09-07,4214
SC55,2023-09-08,3903
SC55,2023-09-09,3786
SC55,2023-09-10,3485
SC55,2023-09-11,3605
SC55,2023-09-12,3631
SC55,2023-09-13,3473
SC55,2023-09-14,3496
SC55,2023-09-15,3735
SC55,2023-09-16,3473
SC55,2023-09-17,3316
SC55,2023-09-18,3548
SC55,2023-09-19,3589
SC55,2023-09-20,3401
SC55,2023-09-21,3365
SC55,2023-09-22,3297
SC55,2023-09-23,3277
SC55,2023-09-24,3313
SC55,2023-09-25,3626
SC55,2023-09-26,3657
SC55,2023-09-27,3309
SC55,2023-09-28,2981
SC55,2023-09-29,2996
SC55,2023-09-30,3105
SC55,2023-10-01,2929
SC55,2023-10-02,2783
SC55,2023-10-03,2735
SC55,2023-10-04,2848
SC55,2023-10-05,3162
SC55,2023-10-06,3236
SC55,2023-10-07,3634
SC55,2023-10-08,3575
SC55,2023-10-09,3516
SC55,2023-10-10,3344
SC55,2023-10-11,3318
SC55,2023-10-12,3264
SC55,2023-10-13,3233
SC55,2023-10-14,3203
SC55,2023-10-15,3072
SC55,2023-10-16,3370
SC55,2023-10-17,3241
SC55,2023-10-18,3216
SC55,2023-10-19,3045
SC55,2023-10-20,4257
SC55,2023-10-21,3000
SC55,2023-10-22,2868
SC55,2023-10-23,3139
SC55,2023-10-25,5950
SC55,2023-10-26,4486
SC55,2023-10-27,4991
SC55,2023-10-28,4124
SC55,2023-10-29,3968
SC55,2023-10-30,4327
SC55,2023-10-31,3803
SC55,2023-11-02,5563
SC55,2023-11-03,4522
SC55,2023-11-04,4748
SC55,2023-11-05,4163
SC55,2023-11-06,4062
SC55,2023-11-07,4872
SC55,2023-11-08,4274
SC55,2023-11-09,4264
SC55,2023-11-10,4270
SC55,2023-11-13,4782
SC55,2023-11-14,4094
SC55,2023-11-15,3750
SC55,2023-11-16,3928
SC55,2023-11-17,3968
SC55,2023-11-18,3661
SC55,2023-11-19,3483
SC55,2023-11-20,3543
SC55,2023-11-21,3248
SC55,2023-11-22,3036
SC55,2023-11-23,3065
SC55,2023-11-24,3050
SC55,2023-11-25,3045
SC55,2023-11-26,2926
SC55,2023-11-27,3214
SC55,2023-11-28,3154
SC55,2023-11-29,3167
SC55,2023-11-30,3289
SC31,2023-08-01,9189
SC31,2023-08-02,9002
SC31,2023-08-03,8613
SC31,2023-08-04,8910
SC31,2023-08-05,8125
SC31,2023-08-06,8212
SC31,2023-08-07,8124
SC31,2023-08-08,8266
SC31,2023-08-09,8491
SC31,2023-08-10,8523
SC31,2023-08-11,8468
SC31,2023-08-12,8610
SC31,2023-08-13,7764
SC31,2023-08-14,8358
SC31,2023-08-15,9510
SC31,2023-08-16,9390
SC31,2023-08-17,9217
SC31,2023-08-18,8967
SC31,2023-08-19,9054
SC31,2023-08-20,9161
SC31,2023-08-21,10181
SC31,2023-08-22,9334
SC31,2023-08-23,9861
SC31,2023-08-24,9683
SC31,2023-08-25,10288
SC31,2023-08-26,9031
SC31,2023-08-27,9856
SC31,2023-08-28,9889
SC31,2023-08-29,10775
SC31,2023-08-30,10508
SC31,2023-08-31,11422
SC31,2023-09-01,10712
SC31,2023-09-02,11932
SC31,2023-09-03,10076
SC31,2023-09-04,10120
SC31,2023-09-05,10958
SC31,2023-09-06,11105
SC31,2023-09-07,11846
SC31,2023-09-08,11626
SC31,2023-09-09,11272
SC31,2023-09-10,10548
SC31,2023-09-11,10381
SC31,2023-09-12,10296
SC31,2023-09-13,10631
SC31,2023-09-14,11065
SC31,2023-09-15,10977
SC31,2023-09-16,11360
SC31,2023-09-17,10713
SC31,2023-09-18,10437
SC31,2023-09-19,11194
SC31,2023-09-20,11456
SC31,2023-09-21,12000
SC31,2023-09-22,12632
SC31,2023-09-23,12218
SC31,2023-09-24,12376
SC31,2023-09-25,12608
SC31,2023-09-26,13262
SC31,2023-09-27,12743
SC31,2023-09-28,12267
SC31,2023-09-29,9493
SC31,2023-09-30,11053
SC31,2023-10-01,9665
SC31,2023-10-02,9356
SC31,2023-10-03,8873
SC31,2023-10-04,8925
SC31,2023-10-05,9464
SC31,2023-10-06,9354
SC31,2023-10-07,10603
SC31,2023-10-08,10188
SC31,2023-10-09,9966
SC31,2023-10-10,10133
SC31,2023-10-11,10332
SC31,2023-10-12,9927
SC31,2023-10-13,9853
SC31,2023-10-14,9731
SC31,2023-10-15,10078
SC31,2023-10-16,9762
SC31,2023-10-17,10360
SC31,2023-10-18,10313
SC31,2023-10-19,10302
SC31,2023-10-20,11452
SC31,2023-10-21,10390
SC31,2023-10-22,10129
SC31,2023-10-23,9675
SC31,2023-10-24,15136
SC31,2023-10-25,15040
SC31,2023-10-26,12798
SC31,2023-10-27,12874
SC31,2023-10-28,11852
SC31,2023-10-29,11959
SC31,2023-10-30,11121
SC31,2023-10-31,11185
SC31,2023-11-03,15032
SC31,2023-11-04,14197
SC31,2023-11-05,12811
SC31,2023-11-06,12802
SC31,2023-11-07,13261
SC31,2023-11-08,13525
SC31,2023-11-09,13827
SC31,2023-11-10,12627
SC31,2023-11-13,16894
SC31,2023-11-14,14380
SC31,2023-11-15,12253
SC31,2023-11-16,12961
SC31,2023-11-17,11380
SC31,2023-11-18,11352
SC31,2023-11-19,10794
SC31,2023-11-20,10652
SC31,2023-11-21,11386
SC31,2023-11-22,11252
SC31,2023-11-23,11889
SC31,2023-11-24,11321
SC31,2023-11-25,11062
SC31,2023-11-26,10627
SC31,2023-11-27,11032
SC31,2023-11-28,11174
SC31,2023-11-29,11140
SC31,2023-11-30,11619
SC10,2023-08-01,19533
SC10,2023-08-02,20483
SC10,2023-08-03,20768
SC10,2023-08-04,20166
SC10,2023-08-05,21161
SC10,2023-08-06,19716
SC10,2023-08-07,19273
SC10,2023-08-08,19756
SC10,2023-08-09,21234
SC10,2023-08-10,20821
SC10,2023-08-11,20911
SC10,2023-08-12,20578
SC10,2023-08-13,19260
SC10,2023-08-14,19200
SC10,2023-08-15,20453
SC10,2023-08-16,22603
SC10,2023-08-17,21988
SC10,2023-08-18,23710
SC10,2023-08-19,24223
SC10,2023-08-20,21915
SC10,2023-08-21,21599
SC10,2023-08-22,22825
SC10,2023-08-23,22108
SC10,2023-08-24,22048
SC10,2023-08-25,23200
SC10,2023-08-26,22670
SC10,2023-08-27,23390
SC10,2023-08-28,22531
SC10,2023-08-29,24233
SC10,2023-08-30,24273
SC10,2023-08-31,25541
SC10,2023-09-01,25605
SC10,2023-09-02,26602
SC10,2023-09-03,24753
SC10,2023-09-04,23238
SC10,2023-09-05,25825
SC10,2023-09-06,26200
SC10,2023-09-07,25857
SC10,2023-09-08,25254
SC10,2023-09-09,25070
SC10,2023-09-10,23297
SC10,2023-09-11,22073
SC10,2023-09-12,24180
SC10,2023-09-13,25809
SC10,2023-09-14,25149
SC10,2023-09-15,25750
SC10,2023-09-16,25489
SC10,2023-09-17,24913
SC10,2023-09-18,24496
SC10,2023-09-19,25383
SC10,2023-09-20,28749
SC10,2023-09-21,29149
SC10,2023-09-22,28720
SC10,2023-09-23,32594
SC10,2023-09-24,31112
SC10,2023-09-25,29238
SC10,2023-09-26,31735
SC10,2023-09-27,33244
SC10,2023-09-28,29798
SC10,2023-09-29,28590
SC10,2023-09-30,23604
SC10,2023-10-01,19562
SC10,2023-10-02,20713
SC10,2023-10-03,22581
SC10,2023-10-04,22961
SC10,2023-10-05,25194
SC10,2023-10-06,26844
SC10,2023-10-07,31103
SC10,2023-10-08,29053
SC10,2023-10-09,29406
SC10,2023-10-10,29141
SC10,2023-10-11,29914
SC10,2023-10-12,28094
SC10,2023-10-13,30385
SC10,2023-10-14,31416
SC10,2023-10-15,29662
SC10,2023-10-16,31044
SC10,2023-10-17,32167
SC10,2023-10-18,34503
SC10,2023-10-19,34279
SC10,2023-10-20,34464
SC10,2023-10-21,33897
SC10,2023-10-22,33256
SC10,2023-10-23,34390
SC10,2023-10-24,38214
SC10,2023-10-25,42661
SC10,2023-10-26,39431
SC10,2023-10-27,38084
SC10,2023-10-28,39733
SC10,2023-10-29,35983
SC10,2023-10-30,35811
SC10,2023-10-31,39608
SC10,2023-11-01,56065
SC10,2023-11-02,56182
SC10,2023-11-03,52988
SC10,2023-11-04,45587
SC10,2023-11-05,37583
SC10,2023-11-06,36970
SC10,2023-11-07,41142
SC10,2023-11-08,38895
SC10,2023-11-09,39553
SC10,2023-11-10,42631
SC10,2023-11-13,57625
SC10,2023-11-14,54883
SC10,2023-11-15,44352
SC10,2023-11-16,44099
SC10,2023-11-17,45782
SC10,2023-11-18,42261
SC10,2023-11-19,39593
SC10,2023-11-20,42166
SC10,2023-11-21,43146
SC10,2023-11-22,42839
SC10,2023-11-23,43155
SC10,2023-11-24,41172
SC10,2023-11-25,38895
SC10,2023-11-26,39039
SC10,2023-11-27,37856
SC10,2023-11-28,38005
SC10,2023-11-29,40407
SC10,2023-11-30,39418
SC24,2023-08-01,6428
SC24,2023-08-02,6013
SC24,2023-08-03,6208
SC24,2023-08-04,5827
SC24,2023-08-05,5743
SC24,2023-08-06,5846
SC24,2023-08-07,5709
SC24,2023-08-08,5984
SC24,2023-08-09,6605
SC24,2023-08-10,6217
SC24,2023-08-11,5889
SC24,2023-08-12,5673
SC24,2023-08-13,5488
SC24,2023-08-14,6086
SC24,2023-08-15,6230
SC24,2023-08-16,6372
SC24,2023-08-17,6593
SC24,2023-08-18,6821
SC24,2023-08-19,6929
SC24,2023-08-20,7203
SC24,2023-08-21,7923
SC24,2023-08-22,6814
SC24,2023-08-23,6091
SC24,2023-08-24,5893
SC24,2023-08-25,5763
SC24,2023-08-26,5603
SC24,2023-08-27,5509
SC24,2023-08-28,5970
SC24,2023-08-29,5908
SC24,2023-08-30,5889
SC24,2023-08-31,5835
SC24,2023-09-01,6445
SC24,2023-09-02,6340
SC24,2023-09-03,6390
SC24,2023-09-04,6858
SC24,2023-09-05,6736
SC24,2023-09-06,6687
SC24,2023-09-07,7218
SC24,2023-09-08,6658
SC24,2023-09-09,7218
SC24,2023-09-10,6455
SC24,2023-09-11,6628
SC24,2023-09-12,6571
SC24,2023-09-13,6388
SC24,2023-09-14,7005
SC24,2023-09-15,6723
SC24,2023-09-16,6371
SC24,2023-09-17,6405
SC24,2023-09-18,6834
SC24,2023-09-19,6976
SC24,2023-09-20,7337
SC24,2023-09-21,7602
SC24,2023-09-22,6895
SC24,2023-09-23,6890
SC24,2023-09-24,6824
SC24,2023-09-25,7119
SC24,2023-09-26,7928
SC24,2023-09-27,6727
SC24,2023-09-28,5682
SC24,2023-09-29,5408
SC24,2023-09-30,5361
SC24,2023-10-01,4939
SC24,2023-10-02,4676
SC24,2023-10-03,4961
SC24,2023-10-04,5145
SC24,2023-10-05,5303
SC24,2023-10-06,5429
SC24,2023-10-07,6055
SC24,2023-10-08,5671
SC24,2023-10-09,5497
SC24,2023-10-10,5430
SC24,2023-10-11,5685
SC24,2023-10-12,5684
SC24,2023-10-13,5473
SC24,2023-10-14,5450
SC24,2023-10-15,5213
SC24,2023-10-16,5709
SC24,2023-10-17,5573
SC24,2023-10-18,5833
SC24,2023-10-19,5259
SC24,2023-10-20,5329
SC24,2023-10-21,5159
SC24,2023-10-22,4635
SC24,2023-10-23,5034
SC24,2023-10-24,9260
SC24,2023-10-25,7362
SC24,2023-10-26,6595
SC24,2023-10-27,6680
SC24,2023-10-28,5898
SC24,2023-10-29,5645
SC24,2023-10-30,5950
SC24,2023-10-31,5675
SC24,2023-11-02,8233
SC24,2023-11-03,6748
SC24,2023-11-04,6532
SC24,2023-11-05,6112
SC24,2023-11-06,6846
SC24,2023-11-07,6876
SC24,2023-11-08,6824
SC24,2023-11-09,6510
SC24,2023-11-10,6156
SC24,2023-11-13,7191
SC24,2023-11-14,5982
SC24,2023-11-15,5759
SC24,2023-11-16,5705
SC24,2023-11-17,5562
SC24,2023-11-18,5223
SC24,2023-11-19,5008
SC24,2023-11-20,5624
SC24,2023-11-21,5317
SC24,2023-11-22,5169
SC24,2023-11-23,5231
SC24,2023-11-24,4779
SC24,2023-11-25,4582
SC24,2023-11-26,4470
SC24,2023-11-27,4897
SC24,2023-11-28,4912
SC24,2023-11-29,5032
SC24,2023-11-30,5354
SC15,2023-08-01,3037
SC15,2023-08-02,3240
SC15,2023-08-03,3259
SC15,2023-08-04,4364
SC15,2023-08-05,3376
SC15,2023-08-06,3114
SC15,2023-08-07,3306
SC15,2023-08-08,3203
SC15,2023-08-09,3536
SC15,2023-08-10,3884
SC15,2023-08-11,4137
SC15,2023-08-12,3679
SC15,2023-08-13,3566
SC15,2023-08-14,3374
SC15,2023-08-15,3962
SC15,2023-08-16,3954
SC15,2023-08-17,4535
SC15,2023-08-18,4295
SC15,2023-08-19,4460
SC15,2023-08-20,3705
SC15,2023-08-21,3925
SC15,2023-08-22,4264
SC15,2023-08-23,4595
SC15,2023-08-24,4501
SC15,2023-08-25,4467
SC15,2023-08-26,4231
SC15,2023-08-27,4406
SC15,2023-08-28,3799
SC15,2023-08-29,4536
SC15,2023-08-30,4373
SC15,2023-08-31,4382
SC15,2023-09-01,4533
SC15,2023-09-02,3784
SC15,2023-09-03,4046
SC15,2023-09-04,3558
SC15,2023-09-05,3395
SC15,2023-09-06,3787
SC15,2023-09-07,3758
SC15,2023-09-08,4519
SC15,2023-09-09,4547
SC15,2023-09-10,3647
SC15,2023-09-11,3543
SC15,2023-09-12,4271
SC15,2023-09-13,4266
SC15,2023-09-14,3830
SC15,2023-09-15,3960
SC15,2023-09-16,4234
SC15,2023-09-17,3918
SC15,2023-09-18,3471
SC15,2023-09-19,3120
SC15,2023-09-20,4566
SC15,2023-09-21,4481
SC15,2023-09-22,4394
SC15,2023-09-23,3441
SC15,2023-09-24,3287
SC15,2023-09-25,3868
SC15,2023-09-26,5163
SC15,2023-09-27,5063
SC15,2023-09-28,4424
SC15,2023-09-29,3883
SC15,2023-09-30,3217
SC15,2023-10-01,2587
SC15,2023-10-03,2619
SC15,2023-10-05,2866
SC15,2023-10-06,3280
SC15,2023-10-07,3074
SC15,2023-10-08,4266
SC15,2023-10-09,3977
SC15,2023-10-10,4483
SC15,2023-10-11,4341
SC15,2023-10-12,4247
SC15,2023-10-13,4612
SC15,2023-10-14,4145
SC15,2023-10-15,4332
SC15,2023-10-16,3789
SC15,2023-10-17,3749
SC15,2023-10-18,4173
SC15,2023-10-19,4269
SC15,2023-10-20,4370
SC15,2023-10-21,4014
SC15,2023-10-22,3865
SC15,2023-10-23,3679
SC15,2023-10-24,4795
SC15,2023-10-25,5463
SC15,2023-10-26,5131
SC15,2023-10-27,5485
SC15,2023-10-28,5191
SC15,2023-10-29,4824
SC15,2023-10-30,4303
SC15,2023-10-31,4808
SC15,2023-11-02,4425
SC15,2023-11-03,5392
SC15,2023-11-04,4748
SC15,2023-11-05,4522
SC15,2023-11-06,3899
SC15,2023-11-07,4778
SC15,2023-11-08,4243
SC15,2023-11-09,4532
SC15,2023-11-10,5125
SC15,2023-11-11,4521
SC15,2023-11-13,3822
SC15,2023-11-14,4500
SC15,2023-11-15,3786
SC15,2023-11-16,3886
SC15,2023-11-17,5205
SC15,2023-11-18,4413
SC15,2023-11-19,3818
SC15,2023-11-20,3345
SC15,2023-11-21,4086
SC15,2023-11-22,4805
SC15,2023-11-23,4198
SC15,2023-11-24,4174
SC15,2023-11-25,4200
SC15,2023-11-26,3682
SC15,2023-11-27,3696
SC15,2023-11-28,3443
SC15,2023-11-29,5341
SC15,2023-11-30,5464
SC44,2023-08-01,15734
SC44,2023-08-02,15370
SC44,2023-08-03,15204
SC44,2023-08-04,15346
SC44,2023-08-05,14669
SC44,2023-08-06,13542
SC44,2023-08-07,13606
SC44,2023-08-08,13701
SC44,2023-08-09,14828
SC44,2023-08-10,14613
SC44,2023-08-11,14227
SC44,2023-08-12,13459
SC44,2023-08-13,12568
SC44,2023-08-14,14203
SC44,2023-08-15,14406
SC44,2023-08-16,15688
SC44,2023-08-17,15465
SC44,2023-08-18,15641
SC44,2023-08-19,15522
SC44,2023-08-20,15716
SC44,2023-08-21,16726
SC44,2023-08-22,16686
SC44,2023-08-23,15389
SC44,2023-08-24,15756
SC44,2023-08-25,15213
SC44,2023-08-26,15095
SC44,2023-08-27,14407
SC44,2023-08-28,15438
SC44,2023-08-29,15755
SC44,2023-08-30,15687
SC44,2023-08-31,15778
SC44,2023-09-01,16252
SC44,2023-09-02,16170
SC44,2023-09-03,15731
SC44,2023-09-04,15861
SC44,2023-09-05,15820
SC44,2023-09-06,15933
SC44,2023-09-07,16369
SC44,2023-09-08,15223
SC44,2023-09-09,16889
SC44,2023-09-10,15361
SC44,2023-09-11,15341
SC44,2023-09-12,15697
SC44,2023-09-13,15412
SC44,2023-09-14,15707
SC44,2023-09-15,16200
SC44,2023-09-16,15683
SC44,2023-09-17,14757
SC44,2023-09-18,15465
SC44,2023-09-19,17064
SC44,2023-09-20,16788
SC44,2023-09-21,17005
SC44,2023-09-22,17139
SC44,2023-09-23,16624
SC44,2023-09-24,16381
SC44,2023-09-25,17668
SC44,2023-09-26,18654
SC44,2023-09-27,17748
SC44,2023-09-28,15473
SC44,2023-09-29,14020
SC44,2023-09-30,13855
SC44,2023-10-01,13198
SC44,2023-10-02,12280
SC44,2023-10-03,12879
SC44,2023-10-04,13495
SC44,2023-10-05,14758
SC44,2023-10-06,15077
SC44,2023-10-07,16565
SC44,2023-10-08,17528
SC44,2023-10-09,16838
SC44,2023-10-10,16920
SC44,2023-10-11,17764
SC44,2023-10-12,17069
SC44,2023-10-13,17458
SC44,2023-10-14,16335
SC44,2023-10-15,16177
SC44,2023-10-16,15827
SC44,2023-10-17,17145
SC44,2023-10-18,17314
SC44,2023-10-19,15344
SC44,2023-10-20,16912
SC44,2023-10-21,15544
SC44,2023-10-22,14705
SC44,2023-10-23,15095
SC44,2023-10-24,21697
SC44,2023-10-25,24242
SC44,2023-10-26,19216
SC44,2023-10-27,19469
SC44,2023-10-28,17238
SC44,2023-10-29,16085
SC44,2023-10-30,16465
SC44,2023-10-31,16366
SC44,2023-11-02,26563
SC44,2023-11-03,21500
SC44,2023-11-04,20533
SC44,2023-11-05,18608
SC44,2023-11-06,21083
SC44,2023-11-07,20494
SC44,2023-11-08,20578
SC44,2023-11-09,20501
SC44,2023-11-10,18700
SC44,2023-11-13,25381
SC44,2023-11-14,20146
SC44,2023-11-15,19642
SC44,2023-11-16,18163
SC44,2023-11-17,19114
SC44,2023-11-18,18456
SC44,2023-11-19,16745
SC44,2023-11-20,17929
SC44,2023-11-21,17253
SC44,2023-11-22,17462
SC44,2023-11-23,17143
SC44,2023-11-24,16670
SC44,2023-11-25,15932
SC44,2023-11-26,14739
SC44,2023-11-27,15878
SC44,2023-11-28,16447
SC44,2023-11-29,17027
SC44,2023-11-30,16945
SC18,2023-08-01,5277
SC18,2023-08-02,4817
SC18,2023-08-03,4929
SC18,2023-08-04,4664
SC18,2023-08-05,5313
SC18,2023-08-06,4715
SC18,2023-08-07,4696
SC18,2023-08-08,5657
SC18,2023-08-09,5439
SC18,2023-08-10,5359
SC18,2023-08-11,5249
SC18,2023-08-12,5271
SC18,2023-08-13,4940
SC18,2023-08-14,5597
SC18,2023-08-15,5853
SC18,2023-08-16,6636
SC18,2023-08-17,6417
SC18,2023-08-18,6657
SC18,2023-08-19,6837
SC18,2023-08-20,7169
SC18,2023-08-21,9070
SC18,2023-08-22,7243
SC18,2023-08-23,6498
SC18,2023-08-24,5422
SC18,2023-08-25,5713
SC18,2023-08-26,5614
SC18,2023-08-27,5390
SC18,2023-08-28,5673
SC18,2023-08-29,5864
SC18,2023-08-30,6131
SC18,2023-08-31,5748
SC18,2023-09-01,6624
SC18,2023-09-02,6557
SC18,2023-09-03,6039
SC18,2023-09-04,6026
SC18,2023-09-05,6721
SC18,2023-09-06,7474
SC18,2023-09-07,6734
SC18,2023-09-08,6797
SC18,2023-09-09,6017
SC18,2023-09-10,5986
SC18,2023-09-11,5820
SC18,2023-09-12,6228
SC18,2023-09-13,6099
SC18,2023-09-14,6328
SC18,2023-09-15,6413
SC18,2023-09-16,6494
SC18,2023-09-17,5802
SC18,2023-09-18,5905
SC18,2023-09-19,6462
SC18,2023-09-20,6470
SC18,2023-09-21,6385
SC18,2023-09-22,6264
SC18,2023-09-23,7131
SC18,2023-09-24,6830
SC18,2023-09-25,7349
SC18,2023-09-26,7892
SC18,2023-09-27,6512
SC18,2023-09-28,5906
SC18,2023-09-29,5353
SC18,2023-09-30,5150
SC18,2023-10-01,4925
SC18,2023-10-02,4434
SC18,2023-10-03,4213
SC18,2023-10-04,4535
SC18,2023-10-05,5099
SC18,2023-10-06,5308
SC18,2023-10-07,5438
SC18,2023-10-08,5564
SC18,2023-10-09,5297
SC18,2023-10-10,5441
SC18,2023-10-11,5282
SC18,2023-10-12,5152
SC18,2023-10-13,5213
SC18,2023-10-14,5360
SC18,2023-10-15,5318
SC18,2023-10-16,5137
SC18,2023-10-17,5411
SC18,2023-10-18,5069
SC18,2023-10-19,5651
SC18,2023-10-20,5288
SC18,2023-10-21,5238
SC18,2023-10-22,4674
SC18,2023-10-23,6782
SC18,2023-10-24,10408
SC18,2023-10-25,7606
SC18,2023-10-26,7180
SC18,2023-10-27,7497
SC18,2023-10-28,6529
SC18,2023-10-29,6425
SC18,2023-10-30,6545
SC18,2023-10-31,10016
SC18,2023-11-02,13714
SC18,2023-11-03,10509
SC18,2023-11-04,8658
SC18,2023-11-05,8545
SC18,2023-11-06,7428
SC18,2023-11-07,8117
SC18,2023-11-08,8587
SC18,2023-11-09,8012
SC18,2023-11-10,10378
SC18,2023-11-13,8611
SC18,2023-11-14,6705
SC18,2023-11-15,6465
SC18,2023-11-16,6227
SC18,2023-11-17,5455
SC18,2023-11-18,5824
SC18,2023-11-19,5079
